,HUFL,HULL,MUFL,MULL,LUFL,LULL,OT,xform_HUFL,xform_HULL,xform_MUFL,xform_MULL,xform_LUFL,xform_LULL,xform_OT
48,0.10929,0.57124,0.30935,0.42453,-0.84293,0.15002,-0.82398,0.21813,0.47164,0.2171,0.70631,-0.50569,0.20997,-0.93855
49,0.29371,0.50713,0.56049,0.82996,-0.96213,0.00563,-0.83935,0.21504,0.52783,0.17609,0.77586,-0.68458,0.14615,-0.93234
50,0.15539,0.79564,0.34794,0.49825,-0.99144,0.19921,-0.82398,0.07771,0.60531,0.40657,0.76259,-0.94224,0.19806,-1.01443
51,0.13234,0.76358,0.37386,0.62699,-1.02173,-0.04356,-0.90833,0.39403,0.51879,0.3262,0.85858,-0.69688,0.07879,-0.98627
52,0.14387,0.53919,0.32874,0.73808,-1.17024,-0.18795,-0.83935,0.4095,0.54946,0.34567,0.7447,-0.4043,0.18811,-1.01651
53,0.0403,0.25069,0.09698,0.01859,-0.69443,0.15002,-0.77026,0.41802,0.49795,0.36164,0.83154,-0.254,0.14209,-0.93985
54,0.08623,-0.06987,0.12906,-0.23992,-0.15902,0.15002,-0.69365,0.24683,0.4162,0.35614,0.56546,0.08891,0.21648,-1.08194
55,0.15539,0.05835,0.10985,0.20287,0.19857,0.3436,-0.73201,-0.04969,0.63472,-0.13183,0.47568,0.21425,0.29776,-0.92177
56,-0.53585,0.3148,-0.42469,0.55327,-0.30753,0.53717,-0.67828,-0.688,0.36689,-0.69062,0.56064,0.12592,0.49222,-0.82744
57,-0.72027,0.44302,-0.73363,0.23973,-0.39644,0.48957,-0.59394,-1.27215,0.60294,-1.2092,0.62723,-0.01837,0.50304,-1.06527
58,-1.96477,0.73152,-2.01507,0.64567,-0.03983,0.68156,-0.6093,-1.61303,0.53476,-1.95594,0.67629,0.05369,0.45682,-0.86152
59,-1.5961,0.76358,-1.66735,0.38716,0.43696,0.87514,-0.61693,-1.96465,0.49273,-2.08638,0.75158,-0.12971,0.3851,-0.94634
60,-3.87764,1.46833,-3.96604,1.3283,-0.54494,0.58478,-0.50196,-2.23409,0.40392,-2.34026,0.53077,-0.12272,0.41408,-0.81973
61,-2.89807,1.18031,-2.87794,0.81179,-0.57523,0.58478,-0.40999,-2.27927,0.29215,-2.29903,0.71449,-0.41913,0.38873,-0.67878
62,-2.96723,1.11619,-3.07744,0.82996,-0.78334,0.82754,-0.37163,-1.82566,0.30374,-1.9603,0.45632,-0.53114,0.52294,-0.67972
63,-2.26429,0.37891,-2.25969,0.20287,-0.57523,0.73075,-0.49434,-1.5066,0.08028,-1.7359,0.35027,-0.17702,0.2904,-0.71358
64,-1.2042,0.12246,-1.22305,-0.03695,-0.27724,0.73075,-0.41762,-0.95975,-0.03637,-1.13712,-0.11226,-0.17403,0.42651,-0.69541
65,-0.04038,-0.19762,-0.15416,-0.36866,0.70466,0.77835,-0.4636,-0.70199,-0.31389,-0.7726,-0.22656,0.07989,0.32512,-0.86415
66,0.07471,-0.32584,0.09698,-0.33181,0.10966,0.39278,-0.58631,-0.26479,-0.52193,-0.22071,-0.18847,0.00449,0.15048,-0.75287
67,0.01725,-0.32584,-0.05124,-0.4429,0.31776,0.68156,-0.60167,-0.12913,-0.42513,-0.42545,-0.49165,0.19229,0.19246,-0.82867
68,-0.1326,-0.29378,-0.12843,-0.4429,-0.00954,0.77835,-0.72427,-0.2451,-0.5198,-0.40908,-0.3136,-0.10617,0.2657,-0.83472
69,-0.10954,-0.71051,-0.17989,-0.90386,0.13897,0.87514,-0.77026,-0.13863,-0.43943,-0.22623,-0.15575,-0.17849,0.12761,-0.73573
70,0.09776,0.21863,0.18704,0.01859,-0.30753,0.68156,-0.80099,0.00699,-0.00177,-0.17978,0.2259,-0.24802,0.32043,-0.95643
71,0.66238,1.24442,0.88882,1.21773,-0.09942,0.296,-0.80099,0.05495,0.33905,0.12728,0.34936,-0.48978,0.11914,-0.82653
72,0.67391,1.43627,0.88248,1.51259,-0.81362,0.53717,-0.82398,0.17354,0.59068,0.28037,0.76073,-0.4188,0.23294,-1.09229
73,0.68543,1.08414,0.90821,1.10664,-0.84293,0.296,-0.77026,0.18474,0.61892,0.27142,0.67553,-0.84974,0.05153,-0.96101
74,0.43203,1.14825,0.61847,0.94105,-0.81362,0.24681,-0.79325,0.16131,0.66292,0.22787,0.8603,-0.81145,0.21151,-1.12312
75,0.31676,0.82769,0.59274,0.86681,-1.20052,-0.09116,-0.65529,0.15963,0.6068,0.36227,0.79083,-0.59064,0.0799,-0.98659
76,0.33981,1.14825,0.66993,1.25459,-1.34903,0.05323,-0.62467,0.26945,0.53957,0.3754,0.73582,-0.51868,0.18996,-1.0685
77,0.40897,0.47508,0.50903,0.51642,-0.21764,0.53717,-0.67066,0.26294,0.49943,0.20476,0.66477,-0.19792,0.25047,-1.08117
78,0.45508,0.53919,0.3802,0.25842,0.64506,1.16551,-0.67828,0.27197,0.51966,0.41978,0.53738,-0.00479,0.24068,-0.89467
79,0.43203,0.44302,0.27075,0.4427,0.46627,0.77835,-0.67066,-0.00802,0.54771,-0.0587,0.57961,0.17429,0.55052,-0.93709
80,-0.75485,0.79564,-0.79814,0.38716,0.13897,0.77835,-0.56332,-0.46075,0.45524,-0.68544,0.5339,0.1566,0.41582,-0.95516
81,-2.04546,0.53919,-2.17598,0.73808,-0.24793,0.73075,-0.49434,-1.20515,0.59322,-1.56151,0.70981,0.20051,0.52726,-0.94182
82,-2.69076,1.11619,-2.93574,1.05162,0.19857,1.02112,-0.47134,-1.69524,0.58598,-1.97701,0.70115,-0.00469,0.52622,-0.84137
83,-3.11707,1.62861,-3.3737,1.27276,0.37736,0.73075,-0.5097,-1.95343,0.56322,-2.13518,0.70105,-0.04573,0.41559,-0.87723
84,-2.89807,0.76358,-2.93574,0.51642,-0.39644,0.63396,-0.4636,-2.18304,0.45834,-2.404,0.54297,-0.21674,0.36969,-0.82665
85,-3.35912,1.18031,-3.43169,1.25459,-0.84293,0.68156,-0.30265,-2.28423,0.50757,-2.43063,0.66737,-0.31216,0.29793,-0.67203
86,-1.40015,0.12246,-1.37761,-1e-04,-0.63483,0.82754,-0.25666,-1.83708,0.21168,-2.03086,0.51125,-0.25867,0.46778,-0.90047
87,-1.83798,0.25069,-2.01507,0.12916,-0.18833,0.97193,-0.37937,-1.43801,0.02828,-1.6239,0.28829,-0.37864,0.19102,-0.76046
88,-1.18115,0.05835,-1.18446,0.07362,-0.15902,0.68156,-0.44061,-0.92939,-0.15112,-1.17204,-0.05725,-0.09369,0.34704,-0.77001
89,-0.09802,-0.16604,-0.12843,-0.29495,0.19857,0.77835,-0.53269,-0.63265,-0.28286,-0.78336,-0.35957,-0.01688,0.3516,-0.82865
90,-0.06344,-0.42201,-0.1027,-0.4429,0.25816,0.296,-0.57094,-0.23236,-0.43745,-0.39323,-0.53959,0.09397,0.2471,-0.82184
91,0.02877,-0.29378,0.03248,-0.25809,-0.15902,0.15002,-0.57868,-0.22765,-0.52371,-0.38203,-0.46604,0.25131,0.24817,-0.79176
92,-0.1326,-0.3579,-0.05124,-0.33181,-0.15902,0.24681,-0.59394,-0.12366,-0.56421,-0.40077,-0.42178,-0.05109,0.28118,-0.84895
93,0.06335,-0.38995,0.1999,-0.35049,-0.54494,0.19921,-0.57094,-0.19507,-0.39492,-0.07385,-0.30731,-0.20487,0.17197,-0.81391
94,0.12081,-0.10193,0.20643,-0.12935,-0.60454,0.53717,-0.6323,-0.10947,0.06208,-0.09043,0.24143,-0.28792,0.29443,-0.901
95,0.51271,0.50713,0.6442,0.33213,-0.48632,0.24681,-0.67066,0.00371,0.32251,0.1484,0.50013,-0.42583,0.26414,-0.91539
96,0.74307,1.30853,1.04991,1.10664,-0.87322,0.10242,-0.70128,0.0845,0.51192,0.25181,0.86221,-0.48422,0.17468,-0.90267
97,0.60492,0.63536,0.72139,0.59013,-0.78334,0.39278,-0.74726,0.14278,0.62621,0.18948,0.72261,-0.81222,0.25017,-0.9492
98,0.50118,0.6033,0.69566,0.66384,-0.90253,0.296,-0.77026,0.27006,0.57782,0.1227,0.86263,-0.79674,0.11632,-0.95447
99,0.40897,0.6033,0.6442,0.75624,-1.02173,0.53717,-0.77799,0.2079,0.64449,0.26597,0.72961,-0.79209,0.17465,-0.98289
100,0.62797,0.66741,0.73426,0.64567,-0.69443,0.44039,-0.77026,0.2815,0.51678,0.42344,0.81876,-0.63644,0.2169,-0.99108
101,0.29371,0.25069,0.39306,-0.38735,-0.57523,0.48957,-0.77026,0.29075,0.55534,0.32075,0.8032,-0.40516,0.22952,-1.11545
102,0.60492,0.73152,0.63768,0.46139,-0.09942,0.48957,-0.76263,0.46741,0.34742,0.19984,0.61693,-0.03124,0.32111,-1.07191
103,0.38592,0.21863,0.32221,0.22156,-0.00954,0.44039,-0.70128,-0.0752,0.58968,-0.21601,0.72274,-0.00857,0.52339,-0.84814
104,-0.9969,1.05208,-0.98478,1.2359,-0.51563,0.296,-0.68602,-0.4529,0.47313,-0.70516,0.60725,0.01403,0.39742,-1.05657
105,-2.66771,1.05208,-2.69113,0.95922,-0.57523,0.48957,-0.72427,-1.16956,0.46799,-1.399,0.77314,0.05069,0.5336,-0.95103
106,-3.40506,1.82094,-3.5732,1.84482,-0.21764,0.63396,-0.70901,-1.58741,0.54724,-1.98275,0.62321,-0.04318,0.39694,-0.86942
107,-3.75085,1.91711,-3.92092,1.86298,-0.15902,0.296,-0.69365,-2.096,0.45272,-2.13761,0.65864,-0.06647,0.37935,-0.91325
108,-4.52294,2.17356,-4.57125,2.0291,-0.93184,0.24681,-0.61693,-2.15644,0.43842,-2.386,0.63578,-0.19974,0.38852,-0.83004
109,-4.05036,2.55823,-4.04976,2.4719,-0.93184,0.24681,-0.44835,-2.09008,0.39256,-2.44915,0.58068,-0.30357,0.51317,-0.83706
110,-3.30149,1.88505,-3.39943,1.89984,-0.78334,0.44039,-0.37937,-1.87339,0.22352,-1.96784,0.45502,-0.33462,0.2957,-0.81412
111,-2.55245,0.6033,-2.54309,0.77493,-0.54494,0.24681,-0.47897,-1.44102,-0.02818,-1.60039,0.26062,-0.39447,0.41487,-0.64411
112,-1.22726,-0.10193,-1.21671,-0.09198,-0.39644,0.53717,-0.40236,-1.0435,-0.15863,-0.88562,-0.09616,-0.16474,0.26367,-0.76089
113,-0.04038,-0.10193,-0.1027,-0.20307,0.49656,0.73075,-0.47134,-0.67338,-0.19981,-0.64323,-0.27144,0.07356,0.31717,-0.91976
114,0.01725,-0.19762,-0.04471,-0.25809,0.61478,0.44039,-0.49434,-0.18653,-0.62646,-0.27304,-0.36094,0.10859,0.42696,-0.7991
115,-0.02886,-0.29378,-0.07697,-0.38735,0.37736,0.77835,-0.54795,-0.29737,-0.57387,-0.33783,-0.49178,0.15567,0.21033,-0.82391
116,-0.09802,-0.26173,-0.14782,-0.40604,0.46627,0.82754,-0.57868,-0.09755,-0.51861,-0.24795,-0.45695,-0.02512,0.28023,-0.91798
117,0.02877,-0.48612,0.02613,-0.68272,0.19857,0.97193,-0.65529,-0.25751,-0.41227,-0.10138,-0.27737,-0.08826,0.21991,-0.80737
118,0.43203,0.53919,0.54763,0.14785,-0.45604,0.77835,-0.78562,0.0408,-0.00806,-0.01976,0.13977,-0.36754,0.22899,-1.0122
119,0.60492,0.76358,0.70853,0.60882,-0.72374,0.24681,-0.755,0.20793,0.33667,0.15813,0.50071,-0.59417,0.21057,-1.03412
120,0.83528,1.27647,1.02418,1.03293,-0.78334,0.48957,-0.77799,0.01024,0.4628,0.26237,0.70104,-0.47467,0.21788,-0.87162
121,0.73154,1.05208,0.84389,0.7931,-0.39644,0.39278,-0.73964,0.12792,0.56856,0.19964,0.85604,-0.74884,0.31446,-1.01934
122,0.57034,1.05208,0.85023,0.84865,-0.81362,0.296,-0.76263,0.11177,0.57091,0.27947,0.92753,-0.78681,0.24313,-0.89443
123,0.66238,1.18031,0.93394,0.8855,-0.93184,0.44039,-0.72427,0.23026,0.61555,0.30904,0.84307,-0.8049,0.05036,-1.05485
124,0.86986,1.08414,0.95967,0.8855,-0.33684,0.53717,-0.81624,0.2402,0.63216,0.42996,0.72735,-0.52577,0.12204,-0.95312
125,0.61645,0.63536,0.65073,0.59013,-0.12873,0.53717,-0.80862,0.4554,0.55757,0.30132,0.67051,-0.35709,0.20075,-0.99164
126,0.67391,0.50713,0.70219,0.31345,-0.15902,0.296,-0.98494,0.26941,0.4468,0.12382,0.52463,0.09135,0.22587,-0.97484
127,0.74307,0.98797,0.63768,0.75624,0.49656,0.77835,-0.8776,-0.07017,0.40646,-0.17601,0.70138,0.10556,0.52078,-0.83975
128,-0.29396,1.14825,-0.37323,1.05162,0.43696,1.16551,-1.03866,-0.59318,0.50324,-0.81955,0.60842,0.11082,0.38733,-0.89524
129,-1.01995,0.73152,-1.1908,0.25842,0.34707,1.2623,-1.01556,-1.1599,0.52301,-1.38536,0.60308,0.05668,0.50589,-0.81288
130,-0.57043,0.63536,-0.63705,0.40585,0.49656,1.11632,-1.0233,-1.77173,0.53336,-1.89951,0.73866,0.00504,0.38513,-0.93552
131,-0.36312,0.15452,-0.51474,0.03676,0.67437,0.97193,-0.93132,-2.11105,0.60287,-2.17904,0.62592,-0.14742,0.46781,-0.87129
132,-2.22971,0.28274,-2.31133,-0.03695,-0.27724,0.68156,-0.83935,-2.23802,0.36333,-2.48784,0.53105,-0.22188,0.30286,-0.77195
133,-2.50634,0.85975,-2.58168,0.70122,-0.42672,0.58478,-0.78562,-2.30049,0.34382,-2.18322,0.6426,-0.3955,0.41756,-0.72262
134,-2.63313,0.66741,-2.72972,0.81179,-0.78334,0.44039,-0.80099,-1.81274,0.33424,-1.96961,0.38073,-0.46823,0.41531,-0.8096
135,-2.77145,0.25069,-2.73624,0.38716,-0.69443,0.24681,-0.71664,-1.48822,0.0049,-1.5625,0.29331,-0.37075,0.33273,-0.69058
136,-1.40015,-0.03782,-1.44846,-0.01827,-0.18833,0.58478,-0.73201,-0.98285,-0.42216,-1.04364,0.0297,-0.10969,0.34562,-0.61329
137,-0.1787,-0.32584,-0.23153,-0.42421,0.40667,0.44039,-0.70901,-0.54953,-0.35727,-0.72323,-0.32882,0.0273,0.27358,-0.78295
138,-0.07496,-0.45406,-0.13495,-0.53478,0.37736,0.48957,-0.72427,-0.34036,-0.55788,-0.34948,-0.52083,0.18389,0.3415,-0.92389
139,-0.16717,-0.6464,-0.19294,-0.60849,0.13897,0.296,-0.80862,-0.24321,-0.65751,-0.38695,-0.43015,0.2374,0.1336,-0.79556
140,-0.28244,-0.6464,-0.2636,-0.64535,-0.06914,0.39278,-0.86234,-0.31547,-0.64059,-0.30453,-0.41597,0.0149,0.23691,-0.7895
141,-0.28244,-0.77462,-0.23787,-0.62718,-0.33684,0.39278,-0.98494,-0.10902,-0.48469,-0.21362,-0.29229,-0.31965,0.13883,-0.98916
142,-0.27091,-0.13398,-0.2058,-0.16621,-0.54494,0.3436,-1.05392,0.082,-0.07218,-0.07082,0.18579,-0.38864,0.20385,-0.93092
143,-0.0058,-0.00576,0.10985,0.07362,-0.18833,0.39278,-1.13826,-0.09174,0.25613,0.21047,0.68337,-0.46756,0.22899,-0.94046
144,0.14387,0.41097,0.25789,0.3503,-0.33684,0.53717,-1.22261,0.14295,0.48223,0.15932,0.69218,-0.43376,0.35683,-1.00333
145,0.12081,0.37891,0.25136,0.29528,-0.24793,0.44039,-1.16888,0.19886,0.55165,0.16714,0.78561,-0.59373,0.15787,-1.00105
146,0.18997,0.79564,0.43166,0.62699,-0.87322,0.48957,-1.2456,0.30547,0.57234,0.28076,0.82135,-0.84825,0.19519,-0.97077
147,0.10929,0.25069,0.18704,0.11047,-0.90253,0.296,-1.29922,0.21408,0.50931,0.3082,0.68016,-0.62263,0.1422,-1.01428
148,0.0403,0.0263,0.13558,0.16602,-0.60454,0.24681,-1.03866,0.43167,0.54131,0.49494,0.70209,-0.54861,0.09522,-1.04543
149,0.23608,0.53919,0.3416,0.49825,-0.21764,0.39278,-1.09228,0.18971,0.48381,0.40711,0.75196,-0.3261,0.24494,-0.94609
150,0.29371,0.21863,0.38672,0.31345,-0.15902,0.10242,-1.2456,0.1915,0.37375,0.19048,0.57651,-0.06855,0.55484,-1.06646
151,0.4666,0.63536,0.30301,0.20287,0.64506,0.3436,-1.21498,-0.06182,0.40873,-0.09929,0.56872,0.24188,0.47451,-1.01106
152,-0.88164,0.98797,-0.9913,1.01476,0.13897,0.73075,-1.2456,-0.43499,0.37952,-0.64505,0.50118,0.06676,0.45427,-0.9124
153,-2.66771,1.08414,-2.72972,1.10664,-0.06914,0.68156,-1.16888,-1.18785,0.47928,-1.34655,0.66266,0.02015,0.59266,-1.02249
154,-3.18623,1.59655,-3.42516,1.43887,0.37736,0.97193,-1.14589,-1.60086,0.55575,-1.76369,0.64113,0.02524,0.38876,-0.78439
155,-2.59855,1.27647,-2.91001,1.08847,0.58547,0.87514,-0.96957,-2.09479,0.54985,-2.22948,0.62441,-0.04724,0.57654,-0.87009
156,-3.87764,1.94917,-4.04323,1.62316,-0.00954,1.02112,-0.8776,-2.23241,0.40663,-2.28533,0.53071,-0.36758,0.45114,-0.79438
157,-3.82001,2.46206,-4.08201,2.01093,-0.09942,0.82754,-0.69365,-2.10612,0.3219,-2.15147,0.43604,-0.21888,0.33387,-0.8077
158,-3.52032,1.88505,-3.64405,1.73425,-0.09942,0.77835,-0.6323,-1.9303,0.13947,-1.88621,0.43659,-0.35093,0.4459,-0.70866
159,-2.47176,0.50713,-2.60107,0.29528,-0.33684,0.68156,-0.70901,-1.36093,0.05082,-1.5698,0.21182,-0.44396,0.41282,-0.78464
160,-1.36557,0.09041,-1.45481,0.11047,-0.12873,0.44039,-0.6323,-0.99547,-0.14329,-1.19655,0.01312,-0.10422,0.39412,-0.86361
161,-0.04038,-0.10193,-0.14782,-0.22124,0.61478,0.73075,-0.63992,-0.73367,-0.42303,-0.78595,-0.17015,0.04744,0.38948,-0.8759
162,-0.01733,-0.29378,-0.08983,-0.36866,0.43696,0.39278,-0.86997,-0.22198,-0.39834,-0.47078,-0.37143,0.19545,0.10989,-0.76598
163,-0.08649,-0.38995,-0.12843,-0.4429,0.16926,0.44039,-0.90059,-0.49699,-0.54094,-0.54794,-0.37966,0.09796,0.37124,-0.84083
164,-0.24786,-0.42201,-0.22501,-0.46106,-0.15902,0.48957,-0.90059,-0.24534,-0.5293,-0.37164,-0.38501,0.06325,0.24259,-0.88249
165,0.22455,-0.45406,0.23216,-0.53478,-0.06914,0.97193,-0.90059,-0.23727,-0.42875,-0.2606,-0.26715,-0.12061,0.30007,-0.9621
166,0.23608,0.25069,0.32874,0.11047,-0.21764,0.87514,-0.92358,-0.04292,-0.0466,-0.20835,0.17146,-0.38401,0.19707,-0.97397
167,0.54729,0.6033,0.63768,0.55327,-0.36713,0.10242,-0.94658,-0.00165,0.23349,0.11587,0.43786,-0.43208,0.26494,-0.99369
168,0.54729,0.92386,0.65073,0.77493,-0.78334,0.48957,-1.0003,0.23679,0.56294,0.32598,0.66053,-0.56914,0.15076,-0.9015
169,0.54729,0.92386,0.65073,0.77493,-0.78334,0.48957,-1.0003,0.03762,0.54739,0.19555,0.81316,-0.69218,0.23372,-1.02742
170,0.54729,0.92386,0.65073,0.77493,-0.78334,0.48957,-1.0003,0.14792,0.61653,0.26537,0.73146,-0.77619,0.0826,-1.02596
171,0.54729,0.92386,0.65073,0.77493,-0.78334,0.48957,-1.0003,0.15384,0.61336,0.32588,0.72398,-0.74478,0.23705,-1.07125
172,0.54729,0.92386,0.65073,0.77493,-0.78334,0.48957,-1.0003,0.37044,0.44659,0.34809,0.6776,-0.52509,0.13562,-0.90196
173,0.54729,0.92386,0.65073,0.77493,-0.78334,0.48957,-1.0003,0.31919,0.47576,0.24741,0.53401,-0.3467,0.38426,-0.93687
174,0.54729,0.92386,0.65073,0.77493,-0.78334,0.48957,-1.0003,0.2171,0.53618,0.13586,0.56658,-0.0591,0.30882,-0.98826
